,,종목코드,종목명,현재가,전일대비기호,전일대비,등락률,이전거래량,현재거래량,급증량,급증률,종목분류,매도잔량,매수잔량,체결강도,횟수,거래량,전일비,거래회전율,거래금액,거래량(장중),전일비(장중),거래회전율(장중),거래금액(장중),거래량(장후),전일비(장후),거래회전율(장후),거래금액(장후),거래량(장전),전일비(장전),거래회전율(장전),거래금액(장전),기준가,기준대비,급등률,예상체결가,예상체결량,매도호가,매수호가,현재순위,전일순위,전일거래량,거래대금
거래량 급증 종목,0,489730,디비금융제13호스팩,+3365,2,+1365,+68.25,0,63005312,+63005312,+100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,1,014990,인디에프,+1025,2,+79,+8.35,1927627,26666434,+24738807,+1283.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,2,002140,고려산업,+3115,2,+305,+10.85,813941,9785329,+8971388,+1102.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,3,205470,휴마시스,+1947,2,+91,+4.90,5025115,13946490,+8921375,+177.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,4,007460,에이프로젠,-971,5,-151,-13.46,3203289,10879029,+7675740,+239.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,5,239340,이스트에이드,+2430,2,+365,+17.68,2061493,9346904,+7285411,+353.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,6,208370,셀바스헬스케어,+5490,2,+675,+14.02,1156222,7926721,+6770499,+585.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,7,376930,노을,+3080,1,+710,+29.96,701097,7216742,+6515645,+929.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,8,052600,한네트,+4845,2,+485,+11.12,250185,6696453,+6446268,+2576.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,9,038680,에스넷,+4725,2,+810,+20.69,18395,5127724,+5109329,+27775.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,10,450520,인스웨이브시스템즈,+4210,1,+970,+29.94,2884050,6931982,+4047932,+140.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,11,203650,드림시큐리티,+3465,2,+285,+8.96,153517,3600840,+3447323,+2245.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,12,089150,케이씨티,+2475,2,+10,+0.41,338686,3704818,+3366132,+993.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,13,357880,비트나인,+3520,2,+365,+11.57,17731683,20969558,+3237875,+18.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,14,002870,신풍,+1302,2,+174,+15.43,564591,2936000,+2371409,+420.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,15,282720,금양그린파워,+10420,2,+1740,+20.05,34716,2220074,+2185358,+6294.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,16,000490,대동,+11600,2,+390,+3.48,1880910,3748275,+1867365,+99.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,17,103840,우양,+3380,2,+240,+7.64,100312,1816775,+1716463,+1711.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,18,299900,위지윅스튜디오,+1746,2,+7,+0.40,1740946,3442590,+1701644,+97.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
